sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
16423;BME280;8320;57.456;-2.378;2019-06-02T02:24:51;100307.23;;;11.68;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:27:19;100306.27;;;11.69;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:29:47;100302.49;;;11.67;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:32:14;100292.22;;;11.66;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:34:42;100283.92;;;11.66;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:37:09;100281.16;;;11.68;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:39:37;100281.16;;;11.68;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:42:04;100280.67;;;11.68;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:44:32;100287.89;;;11.70;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:47:00;100276.50;;;11.71;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:49:27;100272.45;;;11.73;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:51:55;100257.47;;;11.75;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:54:24;100250.29;;;11.73;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:56:53;100247.47;;;11.70;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T02:59:22;100237.17;;;11.69;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:01:50;100238.69;;;11.71;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:04:17;100229.34;;;11.69;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:06:45;100225.91;;;11.68;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:09:12;100220.22;;;11.69;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:11:40;100210.61;;;11.69;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:14:07;100207.66;;;11.68;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:16:35;100196.70;;;11.65;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:19:03;100187.22;;;11.64;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:21:30;100179.56;;;11.62;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:23:58;100178.61;;;11.63;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:26:26;100175.66;;;11.62;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:28:53;100163.44;;;11.63;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:31:21;100160.36;;;11.63;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:33:48;100156.45;;;11.63;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:36:16;100147.98;;;11.65;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:38:43;100145.84;;;11.65;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:41:11;100146.33;;;11.64;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:43:38;100137.89;;;11.66;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:46:06;100136.77;;;11.69;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:48:33;100127.98;;;11.70;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:51:01;100122.16;;;11.72;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:53:29;100117.28;;;11.73;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:55:56;100111.55;;;11.73;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T03:58:24;100104.90;;;11.75;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:00:51;100096.12;;;11.76;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:03:19;100101.33;;;11.76;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:05:46;100097.13;;;11.79;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:08:14;100096.12;;;11.80;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:10:42;100089.13;;;11.80;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:13:09;100080.34;;;11.81;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:15:37;100080.86;;;11.85;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:18:04;100073.69;;;11.87;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:20:32;100069.78;;;11.87;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:22:59;100062.44;;;11.86;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:25:27;100054.61;;;11.86;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:27:54;100054.95;;;11.87;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:30:22;100044.03;;;11.88;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:32:49;100042.08;;;11.90;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:35:17;100034.25;;;11.90;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:37:44;100024.51;;;11.92;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:40:12;100014.89;;;11.93;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:42:40;100013.59;;;11.93;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:45:08;100003.98;;;11.93;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:47:35;100000.72;;;11.95;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:50:05;100001.72;;;11.98;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:52:33;99987.23;;;12.00;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:55:00;99974.66;;;12.03;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:57:28;99974.66;;;12.03;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T04:59:55;99970.95;;;12.06;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:02:23;99967.86;;;12.06;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:04:50;99961.98;;;12.08;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:07:18;99962.13;;;12.07;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:09:45;99963.77;;;12.08;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:12:13;99959.03;;;12.07;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:14:40;99940.46;;;12.06;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:17:08;99935.06;;;12.08;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:19:36;99924.15;;;12.08;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:22:03;99914.05;;;12.09;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:24:31;99911.61;;;12.12;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:26:58;99903.95;;;12.14;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:29:26;99897.11;;;12.17;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:31:53;99899.09;;;12.19;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:34:21;99905.44;;;12.21;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:36:48;99911.48;;;12.21;100.00
16423;BME280;8320;57.456;-2.378;2019-06-02T05:39:16;99908.39;;;12.22;100.00
