sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:02:05;4.93;;;1.77;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:04:32;4.37;;;1.80;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:07:00;11.33;;;3.87;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:09:28;7.50;;;2.40;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:11:55;3.60;;;1.53;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:14:23;7.07;;;1.97;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:16:51;3.43;;;1.83;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:19:18;7.90;;;1.83;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:21:46;8.73;;;2.00;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:24:14;2.27;;;1.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:26:42;2.67;;;1.60;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:29:09;2.63;;;1.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:31:37;6.33;;;1.67;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:34:05;7.00;;;1.63;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:36:32;8.43;;;1.83;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:39:00;4.37;;;2.40;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:41:29;3.43;;;2.30;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:43:57;4.37;;;2.20;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:46:25;7.53;;;2.20;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:48:52;7.90;;;2.23;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:51:20;9.60;;;3.00;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:53:48;4.47;;;2.80;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:56:16;4.83;;;2.67;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T00:58:43;8.30;;;3.10;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:01:11;8.43;;;3.30;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:03:39;8.53;;;3.93;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:06:07;10.07;;;3.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:08:34;5.70;;;3.67;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:11:02;11.80;;;4.60;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:13:30;5.60;;;4.20;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:15:57;12.20;;;4.40;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:18:25;10.97;;;3.90;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:20:53;7.27;;;4.17;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:23:21;13.43;;;3.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:25:48;7.20;;;3.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:28:16;4.43;;;3.10;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:30:44;10.60;;;3.53;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:33:11;8.43;;;3.27;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:35:39;7.43;;;3.10;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:38:07;7.60;;;2.40;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:40:34;6.20;;;2.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:43:02;8.90;;;2.63;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:45:30;9.20;;;2.87;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:47:57;11.43;;;2.90;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:50:25;8.17;;;2.87;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:52:53;7.20;;;2.80;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:55:20;5.30;;;2.50;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T01:57:48;8.80;;;2.97;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:00:16;5.90;;;2.37;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:02:44;6.80;;;2.77;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:05:12;4.73;;;3.00;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:07:40;7.23;;;3.37;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:10:07;4.97;;;2.90;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:12:35;9.93;;;3.63;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:15:03;7.70;;;3.13;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:17:32;7.60;;;3.10;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:19:59;8.63;;;3.23;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:22:27;8.63;;;3.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:24:55;6.83;;;3.80;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:27:22;10.03;;;4.30;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:29:50;6.73;;;3.87;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:32:18;7.00;;;3.63;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:34:45;7.33;;;3.47;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:37:13;10.50;;;3.77;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:39:41;12.23;;;3.67;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:42:08;7.00;;;3.60;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:44:36;8.93;;;3.60;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:47:04;11.70;;;3.33;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:49:31;6.80;;;3.43;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:51:59;8.17;;;3.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:54:27;11.87;;;3.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:56:55;9.03;;;3.97;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T02:59:26;9.43;;;4.13;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:01:55;10.50;;;4.33;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:04:24;7.77;;;3.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:06:53;8.60;;;3.50;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:09:25;16.80;;;3.73;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:11:55;11.40;;;3.73;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:14:26;7.03;;;3.90;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:16:55;11.50;;;5.27;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:19:26;8.97;;;4.60;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:21:55;7.50;;;3.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:24:22;13.13;;;4.40;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:26:51;12.43;;;4.07;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:29:19;9.23;;;3.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:31:47;7.20;;;3.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:34:14;5.67;;;3.80;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:36:42;10.37;;;4.13;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:39:10;6.73;;;3.80;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:41:38;11.20;;;4.20;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:44:05;8.17;;;4.43;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:46:33;12.00;;;4.47;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:49:01;13.63;;;5.07;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:51:28;14.33;;;4.83;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:53:56;10.00;;;5.33;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:56:24;12.80;;;5.23;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T03:58:51;12.87;;;4.93;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:01:19;9.87;;;4.17;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:03:47;13.87;;;4.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:06:15;5.43;;;3.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:08:42;11.85;;;5.30;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:11:10;5.63;;;4.07;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:13:38;10.40;;;4.97;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:16:06;6.00;;;4.40;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:18:33;10.17;;;4.60;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:21:01;8.03;;;4.20;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:23:29;8.10;;;3.87;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:25:56;9.47;;;4.10;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:28:24;9.53;;;4.33;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:30:52;8.83;;;4.13;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:33:19;4.30;;;3.40;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:35:47;6.20;;;3.90;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:38:15;6.90;;;3.60;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:40:42;9.23;;;4.23;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:43:10;9.73;;;3.90;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:45:38;9.93;;;3.73;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:48:06;6.70;;;3.87;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:50:34;8.40;;;3.77;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:53:01;11.07;;;4.30;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:55:29;7.40;;;3.60;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T04:57:57;7.40;;;4.00;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:00:24;10.03;;;4.20;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:02:52;11.00;;;4.23;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:05:20;6.67;;;4.50;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:07:48;9.00;;;4.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:10:15;11.47;;;4.80;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:12:43;9.80;;;5.37;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:15:16;10.03;;;4.97;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:17:40;6.73;;;4.23;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:20:08;13.73;;;4.20;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:22:35;10.53;;;4.00;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:25:04;13.23;;;4.60;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:27:32;8.60;;;5.03;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:30:00;13.03;;;5.37;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:32:27;14.50;;;6.30;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:34:56;10.77;;;5.83;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:37:24;11.27;;;5.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:39:51;12.27;;;6.07;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:42:19;11.47;;;5.37;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:44:47;16.67;;;5.43;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:47:15;11.27;;;4.80;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:49:43;13.93;;;5.20;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:52:16;6.73;;;4.20;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:54:41;9.03;;;4.70;;
5331;SDS011;3121;57.138;-2.078;2019-05-31T05:57:09;9.20;;;5.20;;
