sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
22480;SDS011;11407;56.964;-2.212;2019-06-01T02:30:33;1.67;;;1.20;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T02:33:01;2.53;;;1.20;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T02:35:28;2.10;;;1.10;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T02:37:56;4.60;;;1.37;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T02:40:23;2.80;;;1.20;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T02:42:51;2.47;;;1.20;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T02:45:19;2.20;;;1.20;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T02:47:48;3.60;;;1.30;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T02:50:16;2.13;;;1.00;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T02:52:43;4.13;;;1.23;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T02:55:16;2.30;;;1.20;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T02:57:41;2.23;;;1.30;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:00:09;3.80;;;1.13;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:02:37;2.60;;;1.50;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:05:05;3.43;;;1.20;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:07:32;2.80;;;1.50;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:10:03;5.03;;;1.33;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:12:34;2.50;;;1.50;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:15:02;2.27;;;1.40;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:17:30;2.73;;;1.23;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:20:00;2.90;;;1.40;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:22:30;3.07;;;1.30;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:24:58;2.57;;;1.57;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:27:28;2.57;;;1.53;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:29:58;3.67;;;1.30;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:32:28;2.90;;;1.40;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:34:56;2.53;;;1.40;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:37:23;3.90;;;1.40;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:39:51;3.67;;;1.50;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:42:19;4.47;;;1.30;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:44:47;3.67;;;1.40;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:47:14;1.70;;;1.40;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:49:41;4.43;;;1.30;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:52:09;3.77;;;1.40;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:54:36;2.13;;;1.30;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:57:04;2.43;;;1.30;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T03:59:32;2.07;;;1.87;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:01:59;1.87;;;1.00;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:04:27;1.40;;;1.07;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:06:54;3.47;;;1.20;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:09:22;1.40;;;1.10;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:11:49;2.97;;;1.40;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:14:17;3.43;;;1.30;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:16:45;3.23;;;1.20;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:19:12;2.80;;;1.23;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:21:40;1.00;;;0.90;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:24:07;2.80;;;1.20;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:26:35;1.83;;;1.30;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:29:02;3.57;;;1.40;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:31:30;1.43;;;1.33;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:33:57;2.37;;;1.40;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:36:25;3.87;;;1.80;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:38:53;3.83;;;1.67;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:41:20;4.53;;;1.53;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:43:48;3.33;;;1.77;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:46:15;2.57;;;1.50;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:48:43;4.07;;;1.60;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:51:10;3.77;;;1.30;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:53:38;3.10;;;1.50;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:56:05;3.73;;;1.50;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T04:58:33;5.17;;;1.83;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T05:01:00;6.27;;;1.90;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T05:03:29;6.20;;;2.33;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T05:05:56;3.13;;;1.77;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T05:08:24;3.63;;;2.20;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T05:10:51;8.17;;;2.23;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T05:13:19;4.37;;;2.17;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T05:15:47;6.40;;;2.03;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T05:18:14;2.83;;;1.60;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T05:20:42;3.90;;;1.57;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T05:23:09;5.30;;;1.47;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T05:25:37;3.33;;;1.40;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T05:28:05;2.30;;;1.40;;
22480;SDS011;11407;56.964;-2.212;2019-06-01T05:30:32;3.77;;;1.67;;
